customer_text,actual_brand_reply,draft_intent,your_intent,your_escalate_decision,notes
@XboxSupport I did uninstall and reinstall Battle Ages on Xboxone still not working i try to play Battle Ages force me back to home screen on XboxOne,@438878 Have you been able to work through all the steps here: https://t.co/YX3UgNYfB6 ^BL,game_app_crash,,,
@XboxSupport Was able to dumb down the settings on the old tv and get it going on the 4K. Thanks for all your help. You were very informative,"@254534 Thanks for this info, glad to hear this was resolved! If any more Xbox support questions pop up we'll be here to help ^EZ",noise_other,,,
@XboxSupport @152374 If you have the disc version of Zoo Tycoon do you have to pay to get the enhanced version?,@623348 version of Zoo Tycoon is the Ultimate Animal Collection as shown here: https://t.co/GmJeZitVLT . It's a different version.  2 ^ZM,howto_general,,,
@115786 is a shitty fucking company and honestly shouldn't be supported at this point. Go fuck yourselves.,@506122 Hi there! Do you mind DM'ing us? We might be able to help troubleshoot that.  ^JL,noise_other,,,
@XboxSupport no everything else works That's why I'm saying it's the app,"@160806 Gotcha. Have you already tried reinstalling it? If not, let's have you give that a try to see if it helps. ^AK",game_app_crash,,,
"@107664 @XboxSupport I deleted the internal console save also, did a hard reboot, reinstalled. I still cannot play the game.",@782923 Heya! Let's uninstall the game https://t.co/3oioL0JuK8 &amp; power cycle https://t.co/QENEhDs7tB the console &amp; reinstall. ^JL,game_app_crash,,,
@XboxSupport Will a review get them show me the evidence that lead them to ban me? Because I don't think there is any since I did nothing wrong,"@188068 A case review would allow you to contact Enforcement for more info about the suspension, but we 1 ^EZ",enforcement_ban,,,
@XboxSupport Its working now! Thank you Xbox Gods!,@672856 Happy to hear that! Let us know if you need help with anything else. ^JL,noise_other,,,
@XboxSupport is anyone reporting issues with Xbox giftcards from Target not working today? Got one couple hours ago doesn't work,@581381 Hi there! Could you DM https://t.co/nPX1yNXCi5 us your Gamertag and the full code you are trying to redeem? ^JS,purchase_store,,,
@XboxSupport (cont.) it'll sometimes work but then randomly it will stop working. I'm not sure what to do. (2/2),"@405143 Hello, thanks for reaching out to us. Can you DM us your gamertag, the name of the game, and any errors you're seeing? ^CO",howto_general,,,
@XboxSupport Hi I'm getting a error code 0x800705b4 when trying to play star wars KotOr on my Xbox one can you help?,@436770 Hi there! Have you tried the steps in the guide here: https://t.co/ouleFx48g2 Mind sending us a 1/2 ^JA,game_app_crash,,,
@XboxSupport Fix the network issues with parties. Me and my friends are randomly disconnected from each and can’t communicate with one another. Been happening for 1-2 months now,"@807910 Definitely no good. Can you dm your gamertag, your specific console, and your Nat type. We haven't seen party disconnections as a trending issue recently and definitely want to take a look. https://t.co/nPX1yNG0Tv ^IS",network_service,,,
"@XboxSupport Hi Xbox, I made an order (order id: 7469885705) on my phone but it’s not come through on my Xbox...?",@445947 Sorry to hear! We can help take a look. Can you DM us your gamertag and more info on what you purchased?  ^QZ,purchase_store,,,
@XboxSupport need support. 1404637384 is the case nr,"@713511 Hi, if the code was already used, you would want to reach out to the seller of the code. Where did you purchase the code from? ^RM",noise_other,,,
"@XboxSupport Every time I start up my Xbox one x, I’m met with this error code:
E105 00000000 8007045D

And a frozen screen that tells me to restart my Xbox. 
Any help would be much appreciated",@380824 Hi there! Looks like we need an offline update. The steps for that process can be found here https://t.co/EOlFSIDvDc ^JL,hardware_issue,,,
"@XboxSupport Even after 2 factory resets, I still have error code e105 on my Xbox one upon starting up. What else can I do?","@700629 Gotcha, let's have you reach out to the chat team https://t.co/lUV7XYl61S to explore your options in this. ^JS",hardware_issue,,,
@XboxSupport so since I didn’t get a single thing I was told I was going to get with the deluxe edition of COD WW2 do I get my money back?,"@532804 Hello! If you're having trouble getting your pre-order content, this guide here https://t.co/PmlH50tPUi might help. ^AK",billing_subscription,,,
"@XboxSupport I'm haveing bandwidth issues, and I think it's a mix of my internet provider and Xbox issues",@181272 We will be closing soon [hours] if we do not get back to you our AM team will pick up where we left off. 2 ^JL,network_service,,,
@117331 @XboxSupport @127852 any idea what's happened just randomly zoomed in while on FUT draft an didn't zoom back out so i lost 15k. https://t.co/JQA2Hc7PSr,"@201363 We'd be happy to help, but we could use more info. Could you follow &amp; DM @Xboxsupport with your Gamertag &amp; some details? ^EZ",game_app_crash,,,
@XboxSupport gray screen on #XboxOne on One Guide since update. Can't watch TV unless I bypass Xbox. #HELP,@291271 Hi there! Let's go ahead and remove: https://t.co/zJxn1EMf83 your profile from the console and then  1 ^BL,hardware_issue,,,
@XboxSupport Thank you for all that you do #amazingjob,@585810 Thank you so much for the kind words! We're always happy to help :) Hope you're having a fantastic day!  ^TJ,noise_other,,,
"@XboxSupport Yes, this is from the Madden 17 home screen https://t.co/czZmNtaaY4",@809060 Got it. What happens when you click there and try to purchase through he promotion. We're not seeing the promo listed on our store or online so it may be EA specific. Also do any terms and conditions pop up when you click there? ^IS,game_app_crash,,,
"@129009 @XboxSupport Ça fait juste 1 mois que j’attends une réponse par mail après un appel à la centrale pour une manette qui ne fonctionne pas. Plus de 5 renvois de mail pour espérer recevoir une réponse, et toujours rien. 😡","@780271 Hey there. We are an English speaking support channel here, to better assist you are you able to continue in  1 ^BL",hardware_issue,,,
@XboxSupport https://t.co/Kxi3AZFdjZ,@179656 it. We recommend waiting a bit longer for a response from the official Forza team.  2 ^ZM,noise_other,,,
@XboxSupport No error it’s only kick me out from the game,@178504 Are you able to provide us with your Gamertag? ^XS,game_app_crash,,,
"@XboxSupport Across the board, all parties I go into sound less damp, my friends notice it too. Did you update the party chat audio?",@815901 Hi there! Can you send us a picture of your network stats: Settings&gt;Network&gt;Network Settings&gt;Detailed Network Statistics and NAT? ^JL,howto_general,,,
@XboxSupport none of my games are loading I keep getting the “x game is taking too long to load”,@400893 Hi there! Let's have you try resetting your router/modem and then power cycle: https://t.co/QENEhDawC3  ^JA,game_app_crash,,,
@XboxSupport It's working now I can see other people's post and create my own :),@761298 Thanks for letting us know! Please Tweet us whenever there are questions &amp; we'll be here for you.  ^CW,noise_other,,,
@XboxSupport why oh why is my Xbox one X freezing up...😂,"@699859 Hey, is your console freezing during gameplay or during startup? You can  1 ^RM",hardware_issue,,,
@XboxSupport any help would be appreciated. https://t.co/GvlSLb0nN9,@795468 Hi there! Let's check out our guide here for this error code that you're seeing https://t.co/d41zqsj8mY ^TJ,noise_other,,,
"... any chance I can get, say, Gears of War 4 free to show off my new 4K beast when it finally arrive as a ""sorry for that""? @XboxSupport :)",@527605 Reaching out to the live chat team to explore some possible options https://t.co/lUV7XYl61S 2/2 ^TJ,noise_other,,,
@157703 It's zoomed in even more now 🤔 welp,@383230 Hi there! Let's try a full power cycle by following all the steps here: https://t.co/QENEhDawC3  ^BL,howto_general,,,
"@117331 @XboxSupport @115787 @15913 @115786 I have a 4k tv that doesn't have hdr technology,how much difference will the Xbox one x make","@475380 Hi there! If you'd like more info about 4K HDR &amp; Xbox One X, we have details about this on https://t.co/3ErTCLqi2C  ^EZ",howto_general,,,
@XboxSupport @353480 @353481  https://t.co/jt8OLX39Bo,"@768120 Hi there, if the developers are acknowledging this is on their end, we recommend reaching out to them again. ^CO",noise_other,,,
@115786 @XboxSupport How do I cancel a preorder on Xbox?,@416606 our chat support team here: https://t.co/lUV7XYl61S to explore your options on this.  2 ^ZM,howto_general,,,
"@XboxSupport I still have had no help to resolve my problem &amp; you ended Up telling me to ring ea, &amp; this is a joke of service &amp; I will not renew my Xbox live after this farce",@143544 of said account. When you have a moment please reach out to them so we can get this resolved for you.  3 ^XS,billing_subscription,,,
"@XboxSupport Having some trouble with some functions on the xbox elite controller, but it wont let me register it so I can replace it","@539742 Hey there, you can register your device here: https://t.co/v9YfjCym1O and check for warranty and repair options. If you have  1 ^XS",hardware_issue,,,
@XboxSupport certify arks update I want rentable servers,"@248436 Hey there. This process can take some time, and it's not something we'd have control over here on Twitter. Hang in there! ^AK",noise_other,,,
"@XboxSupport I'm looking at getting Forza Horizon 3, but please explain why the Deluxe Edition + Car Pass works out $15 cheaper than getting the Ultimate Edition which includes the exact same content?","@279130 We would not be able to speculate on pricing here at support, but if you run into any issues with purchasing do let us know. ^JL",howto_general,,,
"@XboxSupport Here’s what comes up specifically. Once I click that, I get no text. And if I try the email, I get no email. https://t.co/kMykgNSEEn",@307240 Let's have you try reaching out to phone support here: https://t.co/lOCEiuUPdH so they can look into this further for you.  ^RR,account_signin,,,
@XboxSupport Yes all characters are available online only. Offline only one character,@222464 Can you DM us so we can send a bit more info? ^JL,howto_general,,,
"@XboxSupport 
Hello! I just bought my Xbox Scorpio yesterday. Got an 14 day Live trial passcode. Iv'e entered the code. But my account somehow has stalled in silvermode or something. Because i still can't play online. Just download ""Games with gold"" titles.",@629982 That's strange! Can you DM us your gamertag and more info on exactly what you see when you play online? Any specific error messages or codes you can share? https://t.co/nPX1yNG0Tv ^QZ,account_signin,,,
@XboxSupport The hard drive is detected but my console slows when it’s used &amp; doesn’t want to launch some games or apps or recognize DLC thats installed.,@162385 Gotcha. Have you tested plugging your hard drive into an alternate USB port on the console?  ^JA,hardware_issue,,,
"@XboxSupport my xbox won’t let me sign in cause I don’t have the security code, and I haven’t got a email for it",@325839 Howdy! Could you go through the steps here https://t.co/aCbkVejZGt to help with recovering your account information? ^JS,account_signin,,,
"@XboxSupport No it didn't, I also set my Xbox one back to factory settings but nothing.So strange that everything on the app works except NBA TV closes.",@387488 Thanks for that. Could you try the steps here https://t.co/BtdGH8S5aQ for apps freezing and crashing? ^JS,game_app_crash,,,
@XboxSupport guys any chance of help :(,"@236308 Hi there! Could you DM us your Gamertag, the full code you're trying to redeem, and the where you bought the code from? ^JS",noise_other,,,
@XboxSupport Game lag,"@348950 Thanks for the clarification. Can you DM us your Gamertag, NAT type, and your detailed network stats. ^CO",network_service,,,
@XboxSupport Question; lots of reviews are saying that Madden 18 will “eventually” get Xbox One X support. Will it be ready on 11/7?,"@486734 Hi there! We wouldn't have specific info on that here, I'm afraid. The best places to watch for official… ^QZ",howto_general,,,
@464300 Do you know if it will download 4K patches on to HDD when connected to #XboxOneX and will that just be ignored when switched back to XB1?,@411019 Heya! If you set that external drive as the default drive it should use it directly. For more info: https://t.co/KnvMRASnLt 1 ^JL,howto_general,,,
"@XboxSupport I have gotten the newest update already, downloaded it Wednesday.",@631495 Thanks for clarifying. Were you able to perform a factory reset with the steps in: https://t.co/aaMK3PfO1C as well? ^EZ,noise_other,,,
@XboxSupport @125833 why won't my guided games/nightfall or my strike playlist won't load either.,"@190459 That sound strange. Can you DM us your gamertag, steps you've tried &amp; a detailed summary of the issue so we can help? ^AK",game_app_crash,,,
@XboxSupport still can’t connect to my internet,@276041 What you will want to do at this point is reach out to our chat  1 ^XS,network_service,,,
@XboxSupport Would like to know cause I'd like this game asap and would be willing to spend $20 as it's on sale atm. But don't really want to if I get the free code.,@529152 Hi there! Would you be able to send us a screen shot of the promotion that you are referring to?  ^JA,howto_general,,,
