id,customer_text,actual_brand_reply,your_intent,your_escalate_decision,notes,prior_context
22,"@XboxSupport I have 5 games with multiple saved files, started all over again two weeks ago and now this morning they are vanished again. Why?",@177642 Hi there. Are you using an external hard drive or the internal? Do you mind DM'ing us so we can get some more info? ^JL,hardware_issue,ESCALATE,borderline game_app_crash vs hardware_issue; data loss warrants human review,"[{""author"": ""177642"", ""text"": ""@XboxSupport two weeks after starting over because my last ones corrupted, my brand new One S has somehow yet again corrupted my files"", ""inbound"": true}]"
23,"@115890 Hey, @XboxSupport, both of my controllers have bad left sticks. I see this seems like a common issue. One from Amazon, can't remember where I got the other. Fixes? Ideas? Recalls? RMA?","@286724 Hey there, you can register your device here: https://t.co/v9YfjCym1O and check for warranty and repair options. If you have  1 ^XS",hardware_issue,AUTO_HANDLE,,"[{""author"": ""286724"", ""text"": ""I got 2 @115890 #XboxOne controllers for PC. Both have dead zones on left stick and are \""clicky\"" when I rotate that stick. Anyone else have issues? I loved these are first, but can't stand them anymore. Both on left only. https://t.co/8rOjAkjeDu"", ""inbound"": true}]"
24,@XboxSupport hey xbox this person is saying very mean things to me and it is really hurting my feelings https://t.co/F896DC0Ex2,@226007 Hiya! We would highly recommend letting Enforcement know by filing a complaint https://t.co/PttOdLg3lY ^JL,enforcement_ban,AUTO_HANDLE,,[]
25,@XboxSupport That worked! Thank you! 💕,"@329080 Fantastic, we're glad to hear that. We hope you have a great weekend! :) ^ZM",noise_other,AUTO_HANDLE,,"[{""author"": ""326713"", ""text"": ""@329080 Microsoft's servers are experiencing a slow down causing high latency and connection issues.#XboxHelp"", ""inbound"": true}, {""author"": ""329080"", ""text"": ""@326713 2/2 achievement I was close to with the new XB1 dash update."", ""inbound"": true}, {""author"": ""XboxSupport"", ""text"": ""@329080 Switch profile, Confirm, Sign in, and select your character to see if the achievement unlocks.  2 ^ZM"", ""inbound"": false}]"
26,@XboxSupport pésima asistencia!!😤,"@748483 Hey there. We are an English speaking support channel here, to better assist you are you able to continue in  1 ^BL",noise_other,AUTO_HANDLE,,[]
27,@XboxSupport Puerto Rico region,@446563 Thank you for that information. Let's reach out here: https://t.co/lOCEiuUPdH to get this sorted out.  ^BL,noise_other,AUTO_HANDLE,insufficient context - unclear ask,"[{""author"": ""446563"", ""text"": ""@XboxSupport @15913  you are billing monthly for Xbox live when in my town we don't have electric power or water too. What I can do if I can't play due to Maria damage and the billing continue. Government don't have estimate when my power return."", ""inbound"": true}, {""author"": ""XboxSupport"", ""text"": ""@446563 your region so we can get you over to our phone team that can assist you.  2 ^CO"", ""inbound"": false}]"
28,@XboxSupport my Xbox One ranomdly logs out of Xbox live. When I test connection it can't find the ip address. I have to restart my Xbox to get live back online. Internet is working on other devices. Help?,@702745 Hi there! We'd recommend following the steps in the guide here: https://t.co/kmbwtcwpuh  ^JA,network_service,AUTO_HANDLE,,[]
29,"@161794 @125833  

Everytime I select my character on Destiny 2 I get disconnected. I've tried restarting Xbox, clearing cache, help pls","@178892 Hi there, official Xbox Support here. If you have any Xbox questions for us, we're here and happy to help. ^ZM",game_app_crash,AUTO_HANDLE,,[]
30,@115786 @XboxSupport I fucking hate these messages!! Please Fuuuuucking help me!!!!!! Peace of shits!! https://t.co/S9aE0xmReQ,@240389 we can collect more info and take a closer look into this with you?  2 ^ZM,network_service,ESCALATE,"angry tone, needs human review",[]
31,@115786 @XboxSupport every time I try to change my home Xbox it does this. I went to the website and entered the code but that wouldn’t work either https://t.co/K1c3bGH7uZ,"@705570 @115786 Thanks for letting us know! We were closed up overnight: https://t.co/XJOdrwH5K1 but we're back open now. Can you DM us your gamertag, and a picture of what you see under Settings&gt;Network&gt;Detailed Network Statistics on the console? https://t.co/nPX1yNG0Tv ^QZ",account_signin,ESCALATE,"verification code failing, needs account investigation",[]
32,"@XboxSupport Thanks, but it managed to start working all by itself.  Didn’t make much sense, but everything is good now",@218431 Glad to hear it! Happy gaming :) ^BZ,noise_other,AUTO_HANDLE,,"[{""author"": ""218431"", ""text"": ""Man...ever since last update.. I’ve hard reset my Xbox 4 times...it won’t recognize my ext hard drives and it won’t start games"", ""inbound"": true}, {""author"": ""XboxSupport"", ""text"": ""@218431 Need help with your console. Official Xbox Support here, send us a tweet and we can help. \n ^RR"", ""inbound"": false}]"
33,@XboxSupport I need your help!,"@166796 Hi there! We'd be happy to help with this. Could you follow us back &amp; DM your GamerTag when you get a chance? 
 ^TJ",noise_other,AUTO_HANDLE,,[]
34,@XboxSupport @XboxSupport the problem is him and I have many mutual friends so he joins there party when I’m in there it shouldn’t have come this far,@327246 a friend they won't be able to see you are online to join your party. If you have mutual friends you play with that know 4 ^XS,howto_general,AUTO_HANDLE,,"[{""author"": ""XboxSupport"", ""text"": ""@327246 messaging you like this to report https://t.co/xA3ALtDhCM and block https://t.co/t5jYGYLaPQ them.  2 ^JS"", ""inbound"": false}, {""author"": ""327246"", ""text"": ""@XboxSupport @XboxSupport  thanks for not helping at all I know how to block some one he has other people join my parties and used other accounts"", ""inbound"": true}, {""author"": ""XboxSupport"", ""text"": ""@327246 Hey there, let's try changing your account privacy to only allow your friends to see if you are online. 1 ^XS"", ""inbound"": false}]"
35,@XboxSupport I have pre-ordered. Why can't I play? https://t.co/sU8TK7WeGl,"@164712 Hey there. Can you share your gamertag on this specifically? Happy to take a closer look with you on this.  ^IS
 https://t.co/3ZhVDWKaYU",purchase_store,ESCALATE,,[]
36,@356711 Got VC from gamestop around release week. Entered in my code and VC never showed up.,@670865 How long ago did you enter it and what steps have you tried so far? Can you DM your Gamertag to us?  ^JL,purchase_store,ESCALATE,,"[{""author"": ""670865"", ""text"": ""Cool. Another day of no response from @130182. Getting pretty fuckn ridiculous. I've done 4 requests!"", ""inbound"": true}, {""author"": ""670865"", ""text"": ""@130182 @XboxSupport"", ""inbound"": true}, {""author"": ""356711"", ""text"": ""@670865 Hello, what kind of 2k issues are you having? #XboxHelp"", ""inbound"": true}]"
37,@XboxSupport Ive tried all the steps and they’re still not appearing,@238930 Gotcha. Were these clips uploaded to Xbox Live?  ^JA,achievements_rewards,AUTO_HANDLE,,"[{""author"": ""238930"", ""text"": ""@XboxSupport I recorded a lot of game clips earlier and they’ve all just disappeared"", ""inbound"": true}, {""author"": ""XboxSupport"", ""text"": ""@238930 Hey there! Have you tried resetting your router/modem and then power cycle: https://t.co/QENEhDawC3  ^JA"", ""inbound"": false}]"
38,Anyone help? Headset won’t work in party chat can’t hear the other person or mic won’t work but does in game chat @XboxSupport @2721,@389202 are having along with your Gamertag? Please include verbatims of any error you are seeing.  2 ^XS,hardware_issue,AUTO_HANDLE,,[]
39,Thanks @XboxSupport for stealing $64 from me and not letting me play the game I bought.,@495256 Hi there! Can you DM us your Gamertag and a photo of that order from this link https://t.co/ynh71OJwNH ^JL,purchase_store,ESCALATE,,[]
40,"@XboxSupport my xbox is not working. This morning i jumped on the store and it gave my a black screen.I turned it off and gave the same black screen,what should should i do.",@250794 Heya! Let's have you check out the guide for the black screen here https://t.co/6sZTwNPUmo Let us know how that goes. ^JL,hardware_issue,AUTO_HANDLE,,[]
41,Internet is out. Wanted to watch Twilight on DVD to pass the time. I have to connect to the internet to watch a damn movie that I own physically?!?!?! @115890 @115786 @XboxSupport #WTAF https://t.co/831uqVuAjP,"@666483 Hi there, if you try disabling BD Live under Blu-ray settings: https://t.co/V7AIwc4ugr are you able to play the movie? ^ZM",howto_general,AUTO_HANDLE,,[]
42,@XboxSupport  https://t.co/3Cdw55aQyd,@222783 DM us your Gamertag and clarify what the issue is that you're having so we can investigate?  2 ^BZ,noise_other,AUTO_HANDLE,"link only, no clear issue stated","[{""author"": ""222783"", ""text"": ""Been staring at this screen for two days @XboxSupport"", ""inbound"": true}]"
43,@XboxSupport DM?,@692784 A direct message or private message to us.  ^CO,noise_other,AUTO_HANDLE,,"[{""author"": ""692784"", ""text"": ""@XboxSupport  I didn't know whether to bring it up to you or Microsoft store but when I visit marketplace and click on any game it doesn't show the buy button, add-ons or reviews. Just summary of product and pictures. Please help."", ""inbound"": true}, {""author"": ""XboxSupport"", ""text"": ""@692784 Hi there! We'd be happy to help with this. Could you follow us back &amp; DM your GamerTag when you get a chance? \n ^TJ"", ""inbound"": false}]"
44,@XboxSupport Alright,@198011 Let us know how that goes. ^JL,noise_other,AUTO_HANDLE,,"[{""author"": ""XboxSupport"", ""text"": ""@198011 system update: https://t.co/aaMK3PfO1C On step 7 select:  Reset and keep my games &amp; apps.  2 ^JL"", ""inbound"": false}, {""author"": ""198011"", ""text"": ""@XboxSupport Will I still keep all my saved games? I've spent hundreds of hours on those games and don't want to lose them?"", ""inbound"": true}, {""author"": ""XboxSupport"", ""text"": ""@198011 If you are connected to the internet, yes. Be sure to select keep games and apps when prompted.  ^JL"", ""inbound"": false}]"
45,@XboxSupport It's a survival map me and my friends have been playing on for years,@675249 Do you own the map and run the server? The other info would also be helpful.  ^IS,game_app_crash,AUTO_HANDLE,"mid-conversation fragment, likely map/save issue","[{""author"": ""XboxSupport"", ""text"": ""@675249 Hi, do you have a question that we can assist with? ^RM"", ""inbound"": false}, {""author"": ""675249"", ""text"": ""@XboxSupport It works just fine on xb1 but when I convert it to new version is says Xbox live achievements cannot be earned on this map."", ""inbound"": true}, {""author"": ""XboxSupport"", ""text"": ""@675249 Hmm this may be as intended but what map is it? Can you also share your gamertag and the achievement your trying to earn? ^IS"", ""inbound"": false}]"
46,@XboxSupport Is there a way I can uninstall the 4K assets if I ever decide I need the extra space but don't want to uninstall the game?,@796086 Hi there! I'm afraid there is no option to do so. If this is something that you'd like to see in the 1/2 ^TJ,howto_general,AUTO_HANDLE,,"[{""author"": ""XboxSupport"", ""text"": ""Thinking about making the jump to Xbox One X? Learn how you can pre-download 4K assets for Xbox One X Enhanced titles with this video: https://t.co/KTQqziEhiB"", ""inbound"": false}]"
47,@XboxSupport I'm still able to get free subscription I need you guys to fix my account,@291268 Hi there! There is currently a service alert affecting this. Our teams are aware and  1 ^JS,billing_subscription,ESCALATE,,"[{""author"": ""XboxSupport"", ""text"": ""We've got the proper teams investigating sign-in issues across Xbox One consoles &amp; our website. We'll provide more info when we have it!"", ""inbound"": false}]"
48,@XboxSupport Ah ok. If a picture doesn't follow those rules what happens? Does the pre check after picking the image catch it and not allow it?,@205610 avoid any content that might violate it. Let us know if you have any other questions.  2 ^JL,howto_general,AUTO_HANDLE,,"[{""author"": ""XboxSupport"", ""text"": ""@205610 Hello! We're happy to help if we can. What's your question? ^AK"", ""inbound"": false}, {""author"": ""205610"", ""text"": ""@XboxSupport Well I was wondering what isn't acceptable for a custom gamerpic. Is there certain guidelines I have to follow or will you guys check for me"", ""inbound"": true}, {""author"": ""XboxSupport"", ""text"": ""@205610 The Gamerpic must follow the same rules as the code of conduct here https://t.co/itURlVhmBR ^JL"", ""inbound"": false}]"
49,@XboxSupport bring back saints row 1,"@701917 If you have any ideas or suggestions, we have a feedback page here: https://t.co/xzPtJXQjgy for just that.  ^JL",noise_other,AUTO_HANDLE,,[]
50,"@XboxSupport Your shit fucking console doesn't let me log in, always a new shit bug literally every couple of days, btw do you know how much a PS4 costs?",@666197 Sorry to hear about the trouble! Can you DM us your gamertag and more details on what you're seeing when you try to log in? Is this on an Xbox One or Xbox 360 console? https://t.co/nPX1yNG0Tv ^QZ,account_signin,AUTO_HANDLE,,[]
51,@XboxSupport I have not try there but i cant log in to a new account on Xbox one.,@758112 When you have a moment try to make the account on the https://t.co/6DxzuMLtkS website then sign into said account on the console. ^XS,account_signin,AUTO_HANDLE,,"[{""author"": ""758112"", ""text"": ""@XboxSupport Can you help me? When i trying to create new xbox account, it doesnt work. I press, create new account and then i come to start page again. Plz Help me"", ""inbound"": true}, {""author"": ""XboxSupport"", ""text"": ""@758112 Hey there, are you able to make an account on the https://t.co/6DxzuMLtkS website? ^XS"", ""inbound"": false}]"
52,@XboxSupport on your website it says the Xbox Live problem has been fixed but I still can’t access Xbox Live,@293239 Hi there! Have you tested resetting your router/modem and then a power cycle: https://t.co/QENEhDawC3  ^JA,network_service,AUTO_HANDLE,,[]
53,@XboxSupport Thank you,@460321 No problem! Feel free to reach out should you have future Xbox Support questions! ^JS,noise_other,AUTO_HANDLE,,"[{""author"": ""XboxSupport"", ""text"": ""@793037 Hi! I'm afraid for this, you'll only be able to gift games to users in the region that you're currently located in.  ^TJ"", ""inbound"": false}, {""author"": ""793037"", ""text"": ""@XboxSupport If she keeps the code it'll still work when she comes back to the U.S.?"", ""inbound"": true}, {""author"": ""XboxSupport"", ""text"": ""@793037 If she is physically in the US and her account is set to the US then it should work then.   ^RR"", ""inbound"": false}]"
54,"@XboxSupport Yes, but I can try it again. I reiterate it's only for Halo Wars 2; everything else installs/updates fine.",@203524 That is odd that it is only happening for one game and you followed these steps when restarting the console? https://t.co/isBz4u1SxB ^RM,game_app_crash,AUTO_HANDLE,,"[{""author"": ""203524"", ""text"": ""@XboxSupport Halo Wars 2 won't install/update for some reason. Always gets stuck at 22%, have tried uninstalling to reinstall, hard shutdown of the console, installing something else (which works.) Part of Insider Alpha program."", ""inbound"": true}, {""author"": ""XboxSupport"", ""text"": ""@203524 Have you tried disconnecting your wireless router for five minutes and reconnecting it again? ^RM"", ""inbound"": false}]"
55,@XboxSupport nfl red zone app not working I’m missing the games because of this y’all gotta make things right 🤬😡😡I want a free game or something,@625451 networking equipment (modem/router) once that is back up and running let's turn the Xbox back on and try again.  2 ^XS,game_app_crash,ESCALATE,demanding compensation,[]
56,"@XboxSupport I heard you can change your Xbox Live name for free for the first time, why can’t I change my name with my main email?",@130035 You can only change the GT for free if you have a pre-generated GT. So if  1 ^JL,howto_general,AUTO_HANDLE,,"[{""author"": ""XboxSupport"", ""text"": ""@130035 We're sorry to hear that, however, the phone team would have the final say when it comes to these matters. ^BZ"", ""inbound"": false}, {""author"": ""130035"", ""text"": ""@XboxSupport The only thing annoying me is the security question! There’s only 2 answers to it that I can put, but both are “incorrect”"", ""inbound"": true}, {""author"": ""XboxSupport"", ""text"": ""@130035 We understand the frustration for sure. Do let us know if we can assist with anything else. ^JL"", ""inbound"": false}]"
57,"@XboxSupport My controller does not connect to my pc with Bluetooth and disconnects my xbox after 2 minutes of play, before she works very well, i don't understand. Thanks","@682098 Hey there, can you please DM us with a full description of the issue you  1 ^XS",hardware_issue,AUTO_HANDLE,,[]
58,@XboxSupport @XboxSupport could use a hand with this,"@178046 Greetings! Let's have you try resetting your router/modem and power cycling: https://t.co/QENEhDawC3
 ^RR",noise_other,AUTO_HANDLE,no specific issue described,[]
59,@204601 @115786 @117331 @194082 @115787 @115788 @345697 Your so lucky. Can't wait till next week,"@741524 Hey there! Official Xbox Support here! If you ever have any questions, be sure to Tweet us and we'd be glad to help! ^BZ",noise_other,AUTO_HANDLE,,"[{""author"": ""204601"", ""text"": ""Thank you SO MUCH to the team at Xbox for the incredible Xbox One X package! So blown away! @115786 @117331 @194082 #XboxOneX https://t.co/w4w2slUgVS"", ""inbound"": true}]"
60,@XboxSupport I don't know if it's the new dashboard or there's a bug on the dashboard but my Xbox seems to be deleting my friends.,"@312939 Hello, you can try re-adding your Xbox account to the console by following these steps https://t.co/ANtB3VzqWa
 ^RM",howto_general,AUTO_HANDLE,,[]
61,"@XboxSupport Every one of my games is saying, Took To Long To Start. I have tried completely resetting my console. Please help.",@631495 Hi there! Let's be sure to work through all the steps here: https://t.co/BxdRECtlL8 ^BL,game_app_crash,AUTO_HANDLE,,[]
62,"@582533 @XboxSupport I got Planet Earth 2 to test it, and the HDR is 👌",@250289 Awesome! Glad to hear that things are up &amp; running on your end. Take care &amp; have a great day :)  ^TJ,noise_other,AUTO_HANDLE,,"[{""author"": ""582533"", ""text"": ""@250289 @XboxSupport How come you got one? Thought you'd be happy with your pc"", ""inbound"": true}, {""author"": ""250289"", ""text"": ""@582533 @XboxSupport I got a 4K TV, and wanted a 4K Blu-ray Player. Worked out only being about £100 extra for the Xbox, so thought I might as well."", ""inbound"": true}, {""author"": ""582533"", ""text"": ""@250289 @XboxSupport Yeah that's not a bad idea tbf! Would love me some 4k films but not in the budget atm"", ""inbound"": true}]"
63,"@XboxSupport It's not listed in there or under ready to install, but when I find it on the marketplace it tells me the content is installed","@409702 In order to equip the costume in Sonic Forces, you must complete the Avatar’s first stage (the Chemical Plant Spaceport), after which you  1 ^RM",purchase_store,AUTO_HANDLE,,"[{""author"": ""409702"", ""text"": ""@25812 @XboxSupport @530755 Hey, I got a Shadow costume DLC code from Amazon for Sonic Forces, redeemed it and it's not showing up in-game. Help?"", ""inbound"": true}, {""author"": ""XboxSupport"", ""text"": ""@409702 Hi there, if you go to My Games &amp; Apps&gt;Sonic Forces&gt;Manage Content, is the DLC installed at this time? ^ZM"", ""inbound"": false}]"
64,@XboxSupport https://t.co/Zbmp3YXJXu,@513771 …announcements would be https://t.co/1QSni2GOvR or https://t.co/iExoftGOP6 !   ^QZ,noise_other,AUTO_HANDLE,,[]
65,"@XboxSupport I can't even see the option to pay with it, just credit cards :(",@405767 I see. I'm afraid you'll only be able to use account currency to purchase backwards compatible titles when you 1/2  ^TJ,purchase_store,AUTO_HANDLE,,"[{""author"": ""405767"", ""text"": ""@XboxSupport I want to buy GTA IV with my Microsoft money I dont have enough I can't pay the rest with a credit card? I remember you could"", ""inbound"": true}, {""author"": ""XboxSupport"", ""text"": ""@405767 Hi there! To make sure, are you seeing any available payment options when you try purchasing via the 1/2 ^TJ"", ""inbound"": false}, {""author"": ""XboxSupport"", ""text"": ""@405767 Link here? https://t.co/H8VtIzWBjf 2/2 ^TJ"", ""inbound"": false}]"
66,@XboxSupport I tried both it this morning and last night and didn’t work....any other ideas?,"@550664 Hmm, is the game downloading to the internal hard drive or to an external storage device when you see errors? ^EZ",game_app_crash,AUTO_HANDLE,,"[{""author"": ""XboxSupport"", ""text"": ""@550664 What happens when you try to download the game again?  ^BL"", ""inbound"": false}, {""author"": ""550664"", ""text"": ""@XboxSupport That is what pops up when I try to download it....I’ve tried multiple times as well"", ""inbound"": true}, {""author"": ""XboxSupport"", ""text"": ""@550664 Let's have you try resetting your router/modem and power cycling: https://t.co/QENEhDawC3 ^RR"", ""inbound"": false}]"
